text,target
watched &quot;star trek&quot; with my sister last night..the movie finished at nearly 2:30am..look what I've got! a pair of freaking eyebags!! ,negative
Thank you lawn men! I love being working up by lawn mowers ,positive
@Dameunited (late reply) Thank you! I'm glad I have your support ,positive
@DowntownRob you're the king of scoring free eats!  must be karma from always sharing your space ,positive
@elledeesee I'm kinda thinkin u mite b a nympho... but I feel it's a healthy addiction ,positive
@Amelia_Grace Because guys feel hurt too they just have a different way of showing it ,negative
@greystonebar will let you know! i might grab one from Drinx ,positive
"@tommcfly hey Tom, I'm waiting for you back to Brazil cuz I didn't go to your last concert here  are you coming in October?",negative
@deasaurr me too  awww,negative
@trvsbrkr http://twitpic.com/4hvhs - She's cute ,positive
@lauraduhaime @DocLG @TheTAZZone @mmangen @bradgal Ur welcome &amp; my pleasure! ,positive
Didn't get to go out jogging today ,negative
@xjaelee19x oh bestie..i admired your attention .but it's really hard..i'm so busy..hope you understand..  ,negative
Hey Everyone SO SORRY For Abandoned My Twitter  But I Promise Leave NOT my Abandoned Twitter ! ,negative
"@calst thank you. that's what that unfollow button's for, right?  ",positive
...wishing i could hear your voice... ,negative
"Having a trackies day, woop, im chaving it ",positive
@valeriesteinier unfortunately we have a packed day  we are going to the #dentc next Tues. Have fun! Would love to ck out Hi*Rise soon,negative
Just got back from Midtown. @Lands I called you twice to see if you wanted to come with us ,negative
Oookkk..I have a baaaaaaaaaaaaaaaaaaaaaaaaaad hangover..and I dont remember NONE of the things i wrote on here last night  sad times,negative
"I am really mad that the twittedfon app , aim app, and one of my games is not working on ipoood ",negative
hehe the advantage of the interleague no angels DH ,positive
is now playing the Philippine National anthem while enjoying his 100% health  http://plurk.com/p/t8xil,positive
Getting ready to go to the gym and take the kids swimming. Only allowed to do a 4KM walk and some stretches - physios orders ,negative
Its sunny again ... finally ,positive
"rt @JonAlfredsson @calvarezHIS Yes, I'm a pilot So, how far away is your pilotÂ´s licence? @ level one the dream stage thus far ",negative
Morning Tweoples!! Hope everyone enjoys their Monday! Got to work early today -- Migrane and all! *star* employee ehh? LOL ,positive
"@losannelise nope, never found one ",negative
@JenniferSuarez Yeah. That sucks... ,negative
"downloaded photoscape, though it doesnt work on macs  going to have to turn on my crappy computer!",negative
"@rebekahhah We'll be filming / tweeting / blogging, so you'll be able to see all the doggy guests. ",positive
